,Aircraft,Type of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Date of Post,Overall Rating (/10)
781,,Couple Leisure,Economy Class,October 2020,,,,,,,1,No,12th October 2020,1
782,Boeing 787-9,Solo Leisure,Economy Class,September 2020,1,3,,,2,,2,No,8th October 2020,2
783,,Couple Leisure,Economy Class,October 2020,1,1,,,1,,1,No,8th October 2020,1
784,,Solo Leisure,Economy Class,October 2020,4,5,4,,5,,5,Yes,5th October 2020,9
785,,Couple Leisure,Economy Class,April 2020,,,,,,,1,No,24th September 2020,1
786,,Solo Leisure,Economy Class,September 2020,1,1,1,1,1,1,1,No,22nd September 2020,1
787,Boeing 789,Solo Leisure,Economy Class,August 2020,4,5,4,3,4,,5,Yes,5th September 2020,9
788,,Solo Leisure,Economy Class,August 2020,1,,,,1,,1,No,30th August 2020,1
789,,Solo Leisure,Economy Class,July 2020,,,,,,,1,No,25th August 2020,1
790,Boeing 777,Solo Leisure,Economy Class,December 2019,1,1,1,,1,,1,No,8th August 2020,1
791,,Family Leisure,Economy Class,July 2020,2,1,1,3,1,3,1,No,3rd August 2020,2
792,,Solo Leisure,Economy Class,July 2020,,,,,,,1,No,29th July 2020,1
793,,Solo Leisure,Economy Class,July 2020,5,5,5,5,5,5,5,Yes,10th July 2020,10
794,A321,Solo Leisure,Economy Class,May 2020,3,3,,3,3,,4,Yes,2nd July 2020,5
795,,Couple Leisure,Business Class,May 2020,4,4,3,4,4,5,4,Yes,18th June 2020,8
796,,Couple Leisure,Economy Class,June 2020,4,4,1,4,1,4,1,No,13th June 2020,1
797,,Solo Leisure,Economy Class,May 2020,,,,,,,1,No,7th June 2020,1
798,,Family Leisure,Economy Class,June 2020,,,,,,,1,No,5th June 2020,1
799,,Solo Leisure,Economy Class,June 2020,,,,,,,1,No,3rd June 2020,1
800,,Couple Leisure,Economy Class,May 2020,,,,,,,1,No,27th May 2020,1
801,Embraer 175,Family Leisure,Economy Class,May 2020,,,,,,,1,No,26th May 2020,1
802,A319,Family Leisure,Economy Class,March 2020,1,,,,1,,1,No,6th May 2020,1
803,,Solo Leisure,Economy Class,December 2019,3,3,2,,3,,1,No,4th May 2020,1
804,,Couple Leisure,Economy Class,May 2020,,,,,,,1,No,3rd May 2020,1
805,,Solo Leisure,Economy Class,April 2020,1,1,1,1,1,1,1,No,1st May 2020,1
806,,Couple Leisure,Economy Class,June 2019,,,,,,,3,No,1st May 2020,2
807,Boeing 787,Family Leisure,Economy Class,January 2020,5,5,3,5,5,5,5,Yes,26th April 2020,10
808,,Family Leisure,Economy Class,March 2020,3,4,3,3,5,3,3,Yes,25th April 2020,6
809,,Family Leisure,Economy Class,April 2020,1,1,,,1,,1,No,22nd April 2020,1
810,,Solo Leisure,Economy Class,October 2019,,,,,,,1,No,21st April 2020,2
811,A330-300,Family Leisure,Economy Class,March 2020,4,3,,5,4,,3,Yes,19th April 2020,8
812,,Couple Leisure,Economy Class,April 2020,,,,,,,1,No,9th April 2020,1
813,,Couple Leisure,Economy Class,April 2019,1,1,1,1,1,1,1,No,31st March 2020,1
814,,Couple Leisure,Economy Class,March 2020,5,5,,,5,,5,Yes,31st March 2020,10
815,,Solo Leisure,Economy Class,March 2020,1,1,1,,1,,1,No,30th March 2020,1
816,Boeing 787,Business,Business Class,March 2020,4,3,2,5,1,1,1,No,29th March 2020,1
