,Aircraft,Type of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Date of Post,Overall Rating (/10)
0,,Family Leisure,Economy Class,October 2023,5,5,,5,5,5,5,Yes,20th February 2024,10
1,A321,Family Leisure,Economy Class,February 2024,1,1,,,1,,1,No,12th February 2024,1
2,A319,Business,Business Class,December 2023,2,2,1,3,1,3,1,No,4th February 2024,2
3,,Solo Leisure,Economy Class,January 2024,2,1,1,1,1,1,1,No,2nd February 2024,1
4,,Solo Leisure,Economy Class,January 2024,3,2,2,3,1,1,1,No,31st January 2024,1
5,Boeing 787,Solo Leisure,Business Class,January 2024,5,5,5,3,5,,4,No,28th January 2024,8
6,,Couple Leisure,Economy Class,December 2023,5,5,5,5,5,5,5,Yes,26th January 2024,10
7,,Family Leisure,Economy Class,January 2024,1,1,,,1,,1,No,18th January 2024,1
8,Boeing 777-300ER,Family Leisure,Premium Economy,January 2024,2,3,1,5,2,5,2,Yes,16th January 2024,3
9,,Family Leisure,Premium Economy,December 2023,5,4,4,5,5,3,4,Yes,14th January 2024,10
10,,Family Leisure,Economy Class,December 2023,2,2,1,1,1,1,1,No,11th January 2024,1
11,,Couple Leisure,Economy Class,January 2024,1,1,1,1,1,1,1,No,4th January 2024,1
12,,Business,Business Class,October 2023,4,3,4,4,2,2,2,No,30th December 2023,4
13,Boeing 787,Solo Leisure,Economy Class,December 2023,5,5,3,3,5,,5,Yes,29th December 2023,10
14,Boeing 737-8 MAX,Solo Leisure,Economy Class,December 2023,5,5,4,4,4,1,5,Yes,28th December 2023,9
15,,Family Leisure,Economy Class,December 2023,4,5,,5,5,,5,Yes,28th December 2023,10
16,Boeing 787-9,Business,Business Class,November 2023,5,5,5,5,5,5,5,Yes,25th December 2023,9
17,Boeing 737 Max,Solo Leisure,Business Class,December 2023,5,5,5,5,5,,5,Yes,23rd December 2023,10
18,Bombardier 700,Solo Leisure,Economy Class,December 2023,1,1,,1,1,1,1,No,22nd December 2023,1
19,,Couple Leisure,Economy Class,November 2023,3,5,5,5,4,,4,Yes,10th December 2023,9
20,,Family Leisure,Economy Class,November 2023,3,4,,4,2,,3,Yes,5th December 2023,6
21,,Business,Business Class,October 2023,2,2,2,,1,,1,No,4th December 2023,2
22,Boeing 787-9,Solo Leisure,Economy Class,November 2023,4,5,5,3,5,4,3,Yes,2nd December 2023,9
23,,Family Leisure,Economy Class,November 2023,5,5,5,5,5,5,5,Yes,1st December 2023,10
24,,Couple Leisure,Economy Class,November 2023,3,4,4,4,2,3,1,No,29th November 2023,2
25,,Business,Economy Class,November 2023,4,4,,,1,,1,No,18th November 2023,1
26,A220,Business,Business Class,November 2023,1,1,1,1,1,1,1,No,17th November 2023,1
27,,Couple Leisure,Economy Class,November 2023,5,5,5,1,5,,5,Yes,12th November 2023,9
28,,Solo Leisure,Economy Class,November 2023,1,1,1,2,3,2,2,No,11th November 2023,1
29,,Family Leisure,Economy Class,October 2023,1,1,1,1,1,1,1,No,6th November 2023,1
30,,Solo Leisure,Economy Class,November 2023,1,1,,,1,,1,No,6th November 2023,1
31,,Family Leisure,Economy Class,October 2023,5,5,,5,5,1,5,Yes,3rd November 2023,10
32,,Business,Economy Class,November 2023,2,3,,,1,,1,No,2nd November 2023,1
33,,Solo Leisure,Economy Class,October 2023,1,1,,,1,,1,No,31st October 2023,1
34,,Solo Leisure,Economy Class,September 2023,3,2,2,3,1,2,3,No,29th October 2023,2
35,,Couple Leisure,Economy Class,October 2023,1,3,,,1,,1,No,28th October 2023,1
36,,Business,Economy Class,September 2023,1,2,2,2,1,2,1,No,25th October 2023,1
37,,Couple Leisure,Premium Economy,October 2023,4,4,1,2,5,,4,Yes,25th October 2023,7
38,,Couple Leisure,Economy Class,October 2023,1,1,1,1,1,1,1,No,23rd October 2023,1
39,,Couple Leisure,Economy Class,October 2023,2,3,3,3,1,,1,No,18th October 2023,1
40,,Solo Leisure,Economy Class,October 2023,1,4,,,1,,1,No,16th October 2023,1
41,,Family Leisure,Economy Class,October 2023,1,1,1,,1,,1,No,15th October 2023,1
42,,Couple Leisure,Economy Class,October 2023,2,3,,,1,,2,No,12th October 2023,1
43,,Business,Economy Class,October 2023,2,2,2,2,1,,3,No,6th October 2023,1
44,Boeing 777-300,Solo Leisure,Economy Class,September 2023,3,4,3,4,4,,3,Yes,6th October 2023,7
45,,Family Leisure,Economy Class,October 2023,1,5,4,4,1,2,1,No,4th October 2023,3
46,,Couple Leisure,Economy Class,October 2023,1,1,1,1,1,1,1,No,3rd October 2023,1
47,,Couple Leisure,Economy Class,July 2023,2,2,,,1,,2,No,3rd October 2023,1
48,,Couple Leisure,Economy Class,September 2023,1,1,1,1,1,1,1,No,1st October 2023,1
49,,Business,Economy Class,September 2023,2,3,2,2,1,2,2,No,29th September 2023,1
50,,Solo Leisure,Economy Class,September 2023,3,,,,1,,1,No,28th September 2023,1
51,,Business,Business Class,September 2023,,,,,1,,1,No,23rd September 2023,1
52,,Couple Leisure,Economy Class,September 2023,1,2,,1,1,,1,No,23rd September 2023,1
53,,Solo Leisure,Economy Class,September 2023,1,3,1,,1,,1,No,23rd September 2023,2
54,,Family Leisure,Economy Class,September 2023,1,1,,,1,,1,No,21st September 2023,1
55,,Couple Leisure,Economy Class,September 2023,3,4,2,,5,,1,No,20th September 2023,3
56,,Solo Leisure,Economy Class,June 2023,,,,,1,,1,No,20th September 2023,1
57,,Business,Economy Class,September 2023,1,4,1,,1,,1,No,20th September 2023,3
58,,Solo Leisure,Economy Class,September 2023,3,3,,,1,,1,No,19th September 2023,2
59,,Family Leisure,Economy Class,September 2023,5,5,5,5,5,,4,Yes,17th September 2023,9
60,A220,Business,Business Class,September 2023,3,2,1,3,1,2,1,No,17th September 2023,2
61,,Family Leisure,Economy Class,September 2023,1,1,,1,1,1,1,No,16th September 2023,3
62,,Couple Leisure,Economy Class,August 2023,1,1,,,1,,1,No,13th September 2023,1
63,Boeing 737,Couple Leisure,Business Class,September 2023,2,4,1,1,3,1,1,No,11th September 2023,3
64,,Family Leisure,Premium Economy,August 2023,3,1,1,1,3,1,1,No,8th September 2023,4
65,Boeing 777,Family Leisure,Economy Class,September 2023,1,1,,,1,,1,No,5th September 2023,1
66,,Couple Leisure,Economy Class,September 2023,,,,,1,,1,No,4th September 2023,1
67,,Solo Leisure,Economy Class,September 2023,1,1,,,1,,1,No,2nd September 2023,1
68,,Business,Business Class,August 2023,2,4,,,3,,1,No,31st August 2023,1
69,,Couple Leisure,Business Class,August 2023,2,1,1,2,3,2,3,No,31st August 2023,2
70,,Couple Leisure,Economy Class,May 2023,1,1,,,1,,1,No,30th August 2023,1
71,,Couple Leisure,Economy Class,August 2023,3,2,3,5,1,,1,No,29th August 2023,1
72,,Couple Leisure,Economy Class,June 2023,1,2,2,,2,,1,No,29th August 2023,2
73,,Family Leisure,Economy Class,August 2023,4,4,4,4,4,,5,Yes,29th August 2023,9
74,Boeing 787,Family Leisure,Economy Class,May 2023,5,1,3,5,4,4,3,Yes,28th August 2023,5
75,A330-300,Solo Leisure,Economy Class,August 2023,2,2,1,3,1,,1,No,28th August 2023,3
76,,Family Leisure,Economy Class,August 2023,1,1,1,1,1,1,1,No,27th August 2023,1
77,,Couple Leisure,Economy Class,August 2023,1,1,1,1,1,1,1,No,23rd August 2023,1
78,,Solo Leisure,Economy Class,February 2023,5,4,3,5,4,,4,Yes,22nd August 2023,8
79,,Family Leisure,Economy Class,August 2023,1,1,1,1,1,1,1,No,21st August 2023,1
80,,Family Leisure,Premium Economy,June 2023,4,4,4,3,4,4,1,No,19th August 2023,1
81,,Business,Economy Class,August 2023,2,2,2,2,1,,1,No,19th August 2023,3
82,,Couple Leisure,Economy Class,August 2023,1,1,,,1,,1,No,19th August 2023,1
83,,Solo Leisure,Economy Class,August 2023,3,4,1,5,4,3,5,No,18th August 2023,1
84,De Havilland Dash,Business,Economy Class,August 2023,1,1,,,1,,1,No,17th August 2023,1
85,,Family Leisure,Economy Class,July 2023,2,3,1,1,1,,1,No,17th August 2023,1
86,,Family Leisure,Economy Class,February 2023,1,1,1,,1,,2,No,17th August 2023,1
87,,Solo Leisure,Economy Class,August 2023,4,5,5,5,5,,5,Yes,16th August 2023,10
88,,Solo Leisure,Economy Class,August 2023,1,1,1,3,3,3,1,No,16th August 2023,1
89,Boeing 767-300,Couple Leisure,Economy Class,August 2023,2,3,3,2,2,,2,No,15th August 2023,3
90,Boeing 777 / 787,Couple Leisure,Business Class,May 2023,5,5,5,5,5,5,5,Yes,15th August 2023,10
91,,Business,Economy Class,June 2023,1,4,1,2,1,2,1,No,13th August 2023,1
92,Boeing 787,Family Leisure,Economy Class,August 2023,4,4,4,4,4,,3,Yes,12th August 2023,8
93,,Family Leisure,Economy Class,August 2023,3,3,2,3,1,,2,No,10th August 2023,3
94,Boeing 787,Family Leisure,Economy Class,July 2023,4,5,5,3,5,,3,Yes,10th August 2023,8
95,,Family Leisure,Economy Class,July 2023,2,3,3,3,2,3,1,No,6th August 2023,1
96,,Couple Leisure,Economy Class,June 2023,1,1,,,1,1,1,No,6th August 2023,1
97,A220,Family Leisure,Economy Class,August 2023,2,1,1,,1,,2,No,5th August 2023,2
98,A330,Couple Leisure,Economy Class,July 2023,1,1,1,,1,,1,No,5th August 2023,1
99,,Family Leisure,Economy Class,August 2023,1,1,1,1,1,1,1,No,3rd August 2023,1
100,CRJ900,Family Leisure,Economy Class,March 2023,5,5,5,,5,,5,Yes,3rd August 2023,10
101,AC 034,Solo Leisure,Economy Class,June 2023,1,1,1,1,1,1,1,No,3rd August 2023,10
102,,Couple Leisure,Economy Class,July 2023,2,4,2,4,4,2,1,No,31st July 2023,1
103,,Solo Leisure,Economy Class,July 2023,5,5,2,1,5,1,5,Yes,31st July 2023,10
104,,Family Leisure,Economy Class,July 2023,1,1,1,1,1,1,1,No,30th July 2023,1
105,,Family Leisure,Economy Class,July 2023,,,,,1,,1,No,29th July 2023,1
106,,Solo Leisure,Economy Class,July 2023,5,5,3,4,5,,5,Yes,28th July 2023,10
107,,Solo Leisure,Economy Class,July 2023,1,1,,,1,,1,No,28th July 2023,1
108,,Business,Business Class,July 2023,1,2,2,1,1,,1,No,28th July 2023,1
109,,Business,Economy Class,July 2023,3,3,1,4,1,2,2,No,28th July 2023,1
110,,Couple Leisure,Economy Class,July 2023,1,1,1,1,1,1,1,No,28th July 2023,1
111,,Solo Leisure,Economy Class,July 2023,,,,,2,,1,No,26th July 2023,1
112,,Family Leisure,Economy Class,July 2023,2,1,2,2,1,1,1,No,25th July 2023,1
113,,Family Leisure,Economy Class,July 2023,4,4,3,4,3,,3,No,25th July 2023,3
114,,Family Leisure,Premium Economy,July 2023,3,4,3,2,1,1,1,No,25th July 2023,1
115,,Solo Leisure,Economy Class,July 2023,1,1,1,1,1,1,1,No,25th July 2023,1
116,,Solo Leisure,Economy Class,July 2023,1,1,1,1,1,1,1,No,24th July 2023,1
117,,Family Leisure,Economy Class,July 2023,1,1,2,1,1,1,1,No,24th July 2023,1
118,,Family Leisure,Economy Class,March 2023,1,1,,,1,,1,No,23rd July 2023,2
119,Boeing 777-200,Solo Leisure,Economy Class,July 2023,1,2,1,2,1,,1,No,23rd July 2023,1
120,Bombardier CRJ700,Family Leisure,Economy Class,July 2023,3,3,3,1,1,1,1,No,22nd July 2023,1
121,A330-300,Business,Premium Economy,July 2023,2,2,1,2,1,2,1,No,21st July 2023,2
122,,Family Leisure,Economy Class,July 2023,1,1,1,1,1,1,1,No,21st July 2023,1
123,,Family Leisure,Economy Class,June 2023,1,1,,,1,,1,No,20th July 2023,1
124,,Solo Leisure,Economy Class,July 2023,2,4,2,3,3,3,1,No,18th July 2023,2
125,,Solo Leisure,Economy Class,June 2023,1,1,1,1,1,1,1,No,16th July 2023,1
126,,Business,Economy Class,July 2023,2,1,2,4,1,,2,No,16th July 2023,2
127,,Family Leisure,Economy Class,July 2023,1,1,1,2,1,1,1,No,15th July 2023,2
128,,Couple Leisure,Economy Class,July 2023,1,2,2,,1,,1,No,12th July 2023,1
129,,Business,Business Class,July 2023,1,1,1,1,1,1,1,No,12th July 2023,1
130,,Solo Leisure,Economy Class,November 2022,2,3,2,2,1,1,1,No,12th July 2023,1
131,,Business,Economy Class,July 2023,1,2,,1,1,1,1,No,10th July 2023,1
132,,Family Leisure,Economy Class,July 2023,,,,,1,,1,No,10th July 2023,1
133,embraer,Business,Economy Class,July 2023,4,4,4,,1,,1,No,10th July 2023,2
134,,Solo Leisure,Economy Class,July 2023,1,1,,,1,,1,No,9th July 2023,1
135,,Couple Leisure,Economy Class,July 2023,2,1,2,4,3,2,1,No,8th July 2023,3
136,,Family Leisure,Business Class,July 2023,1,1,,,1,,1,No,8th July 2023,1
137,,Family Leisure,Economy Class,July 2023,1,1,1,2,1,3,1,No,7th July 2023,1
138,,Family Leisure,Economy Class,July 2023,2,3,2,3,1,,2,No,7th July 2023,3
139,,Family Leisure,Economy Class,July 2023,3,4,3,3,1,1,1,No,6th July 2023,1
140,,Family Leisure,Economy Class,June 2023,1,1,1,1,1,1,1,No,5th July 2023,1
141,,Family Leisure,Business Class,July 2023,3,3,,,3,,3,No,5th July 2023,1
142,Boeing 787-9,Solo Leisure,Business Class,July 2023,3,4,2,4,5,4,3,Yes,4th July 2023,6
143,Boeing 787,Couple Leisure,Business Class,June 2023,5,5,5,4,5,4,4,Yes,3rd July 2023,10
144,,Couple Leisure,Economy Class,July 2023,3,5,5,5,5,,3,Yes,2nd July 2023,10
145,,Family Leisure,Economy Class,July 2023,3,4,3,5,1,,1,No,2nd July 2023,1
146,,Solo Leisure,Economy Class,July 2023,1,1,,,1,,1,No,2nd July 2023,1
147,,Business,Business Class,July 2023,1,1,1,1,1,1,1,No,1st July 2023,1
148,,Family Leisure,Economy Class,July 2023,1,1,1,1,1,1,1,No,1st July 2023,1
149,Boeing 787-8,Business,Economy Class,June 2023,1,2,1,2,2,,1,No,30th June 2023,2
150,,Family Leisure,Economy Class,June 2023,3,3,2,2,2,2,3,No,29th June 2023,1
151,,Family Leisure,Economy Class,June 2023,1,1,1,1,1,1,1,No,27th June 2023,1
152,A330-300,Couple Leisure,Economy Class,June 2023,2,2,1,1,1,2,1,No,25th June 2023,1
153,Boeing 787,Couple Leisure,Business Class,June 2023,3,4,4,4,1,1,1,No,25th June 2023,1
154,,Family Leisure,Economy Class,June 2023,,,,,1,,1,No,24th June 2023,1
155,,Solo Leisure,Economy Class,June 2023,1,3,2,4,3,4,1,No,21st June 2023,2
156,,Family Leisure,Economy Class,June 2023,1,1,1,1,1,1,1,No,20th June 2023,1
157,,Solo Leisure,Economy Class,June 2023,1,1,2,2,1,1,1,No,20th June 2023,1
158,Boeing 737 max,Business,Economy Class,June 2023,3,2,2,3,1,,1,No,18th June 2023,1
159,,Family Leisure,Economy Class,June 2023,1,1,1,1,1,,1,No,18th June 2023,1
160,,Couple Leisure,Economy Class,June 2023,3,4,2,2,1,3,2,No,18th June 2023,2
161,,Family Leisure,Economy Class,June 2023,1,1,1,1,1,1,1,No,18th June 2023,1
162,A320-200,Couple Leisure,Economy Class,June 2023,1,1,1,1,1,1,1,No,15th June 2023,1
163,Boeing 787-10,Family Leisure,Economy Class,June 2023,5,5,3,5,5,,4,Yes,14th June 2023,9
164,,Solo Leisure,Economy Class,August 2022,1,1,2,1,3,1,2,No,13th June 2023,3
165,Boeing 787-9,Couple Leisure,Economy Class,June 2023,1,5,4,4,3,,3,No,11th June 2023,6
166,,Business,Economy Class,June 2023,1,1,1,1,1,,2,No,11th June 2023,3
167,,Business,Economy Class,June 2023,2,4,1,,4,,1,No,10th June 2023,2
168,Boeing 787-8,Family Leisure,Economy Class,June 2023,4,5,4,4,4,,5,Yes,8th June 2023,8
169,AC 790,Couple Leisure,Economy Class,June 2023,2,4,2,2,1,2,2,No,8th June 2023,3
170,,Solo Leisure,Economy Class,June 2023,3,2,2,4,1,3,1,No,6th June 2023,2
171,,Family Leisure,Economy Class,June 2023,1,1,1,1,1,1,1,No,5th June 2023,1
172,,Couple Leisure,Economy Class,June 2023,1,1,,1,1,1,1,No,5th June 2023,1
173,,Couple Leisure,Economy Class,June 2023,1,3,1,1,1,1,1,No,3rd June 2023,1
174,Boeing 737 Max,Solo Leisure,Economy Class,June 2023,1,1,1,2,1,1,1,No,2nd June 2023,1
175,,Family Leisure,Economy Class,June 2023,1,1,1,1,1,,1,No,1st June 2023,1
176,,Couple Leisure,Economy Class,May 2023,1,1,1,1,1,1,1,No,28th May 2023,1
177,,Business,Premium Economy,May 2023,4,5,4,4,3,1,2,No,25th May 2023,3
178,,Family Leisure,Economy Class,May 2023,,,,,1,,1,No,25th May 2023,1
179,,Solo Leisure,Economy Class,May 2023,3,2,1,,1,,2,No,23rd May 2023,3
180,,Family Leisure,Economy Class,May 2023,,,,,1,,1,No,22nd May 2023,1
181,Boeing 787-9,Couple Leisure,Economy Class,May 2023,1,3,3,4,4,,4,No,22nd May 2023,5
182,,Family Leisure,Economy Class,May 2023,2,3,1,2,3,1,2,No,22nd May 2023,2
183,,Business,Economy Class,May 2023,1,1,1,,1,,1,No,19th May 2023,1
184,,Couple Leisure,Economy Class,May 2023,3,1,4,4,1,,2,No,18th May 2023,2
185,Rouge,Family Leisure,Economy Class,May 2023,3,5,,2,5,3,2,No,18th May 2023,4
186,Boeing 777-200ER,Solo Leisure,Economy Class,May 2023,4,5,5,4,5,,5,Yes,17th May 2023,10
187,Q-400,Solo Leisure,Economy Class,May 2023,5,4,,,4,,5,Yes,17th May 2023,10
188,,Business,Economy Class,May 2023,1,1,1,1,1,1,1,No,16th May 2023,1
189,,Couple Leisure,Economy Class,May 2023,2,1,1,3,1,,1,No,14th May 2023,3
190,A220,Business,Business Class,January 2023,1,1,,,4,,3,No,14th May 2023,1
191,,Couple Leisure,Economy Class,May 2023,1,1,1,1,1,1,1,No,11th May 2023,1
192,,Solo Leisure,Economy Class,May 2023,1,1,,,1,,1,No,9th May 2023,1
193,,Solo Leisure,Economy Class,May 2023,1,1,1,1,1,1,1,No,8th May 2023,1
194,,Family Leisure,Economy Class,May 2023,4,3,3,4,1,,1,No,7th May 2023,1
195,,Solo Leisure,Premium Economy,October 2022,1,1,1,2,1,1,1,No,2nd May 2023,1
196,,Business,Economy Class,April 2023,1,1,2,1,1,2,2,No,29th April 2023,2
197,A321-200,Family Leisure,Economy Class,January 2023,5,5,5,5,5,4,5,Yes,27th April 2023,10
198,,Couple Leisure,Premium Economy,February 2023,3,2,3,3,1,1,1,No,25th April 2023,2
199,,Couple Leisure,Economy Class,March 2023,2,2,1,,1,,1,No,23rd April 2023,1
200,,Family Leisure,Economy Class,December 2022,5,5,5,4,5,,5,Yes,21st April 2023,10
201,,Couple Leisure,Economy Class,April 2023,1,1,1,1,1,1,1,No,21st April 2023,1
202,Boeing 777-300,Couple Leisure,Economy Class,April 2023,1,1,1,4,1,,2,No,19th April 2023,2
203,,Family Leisure,Economy Class,April 2023,1,2,2,,1,,2,No,16th April 2023,1
204,A330,Couple Leisure,Economy Class,April 2023,2,1,1,5,1,,1,No,15th April 2023,1
205,,Couple Leisure,Economy Class,April 2023,1,2,1,,2,,1,No,15th April 2023,1
206,,Solo Leisure,Economy Class,December 2022,1,1,,,1,,1,No,15th April 2023,1
207,,Couple Leisure,Business Class,April 2023,3,2,2,2,2,1,2,No,15th April 2023,3
208,,Family Leisure,Economy Class,October 2022,1,1,1,1,1,1,1,No,12th April 2023,1
209,,Couple Leisure,Economy Class,April 2023,,,,,,,1,No,12th April 2023,1
210,,Solo Leisure,Economy Class,April 2023,1,1,1,1,1,1,1,No,11th April 2023,1
211,Boeing 777,Family Leisure,Economy Class,March 2023,1,1,1,2,3,2,1,No,6th April 2023,2
212,,Family Leisure,Economy Class,April 2023,1,1,1,1,1,1,1,No,5th April 2023,1
213,,Solo Leisure,Economy Class,April 2023,4,4,4,,5,,4,Yes,5th April 2023,8
214,777-300ER / 787-8,Solo Leisure,Economy Class,April 2023,2,1,1,1,1,,1,No,2nd April 2023,1
215,,Couple Leisure,Economy Class,March 2023,1,4,3,3,1,1,1,No,1st April 2023,2
216,,Family Leisure,Economy Class,March 2023,2,3,1,3,1,,2,No,31st March 2023,3
217,Boeing 787,Family Leisure,Economy Class,March 2023,1,3,,,1,,1,No,26th March 2023,1
218,,Couple Leisure,Economy Class,March 2023,2,2,1,1,1,1,1,No,26th March 2023,1
219,,Business,Economy Class,March 2023,1,2,,,1,,4,No,25th March 2023,2
220,,Family Leisure,Economy Class,March 2023,5,5,5,5,5,,5,Yes,20th March 2023,10
221,,Couple Leisure,Economy Class,June 2022,,,,,,,4,Yes,19th March 2023,10
222,,Solo Leisure,Economy Class,January 2023,3,3,1,3,1,3,1,No,19th March 2023,1
223,,Business,Economy Class,March 2023,4,5,4,5,5,,5,Yes,16th March 2023,10
224,,Family Leisure,Economy Class,February 2023,1,2,1,1,2,1,2,No,11th March 2023,1
225,CRJ900 / Boeing 787-900,Couple Leisure,Economy Class,March 2023,2,3,1,2,1,,1,No,7th March 2023,1
226,Crj-900,Solo Leisure,Economy Class,March 2023,2,1,1,1,1,,2,No,7th March 2023,1
227,Boeing 787-9,Solo Leisure,Economy Class,March 2023,3,4,3,4,4,4,3,Yes,5th March 2023,6
228,Boeing 777-300ER,Family Leisure,Economy Class,February 2023,2,3,2,2,3,1,3,No,26th February 2023,3
229,,Family Leisure,Economy Class,February 2023,4,1,,,2,,2,No,25th February 2023,1
230,,Couple Leisure,Economy Class,February 2023,5,5,4,5,5,,3,Yes,24th February 2023,8
231,AC8989,Solo Leisure,Economy Class,February 2023,,,,,1,,3,No,23rd February 2023,1
232,,Family Leisure,Economy Class,May 2022,1,1,1,1,1,1,1,No,21st February 2023,2
233,Boeing 777,Family Leisure,Business Class,December 2022,3,3,3,,1,,1,No,20th February 2023,1
234,,Solo Leisure,Economy Class,December 2022,4,2,1,2,3,,1,No,19th February 2023,1
235,Boeing 787,Solo Leisure,Business Class,January 2023,5,4,5,5,4,,4,Yes,19th February 2023,9
236,,Solo Leisure,Economy Class,February 2023,,,,,1,,1,No,18th February 2023,1
237,,Business,Economy Class,February 2023,2,1,1,,4,,3,No,16th February 2023,2
238,Boeing 787-8,Family Leisure,Economy Class,March 2022,3,5,4,3,2,,5,Yes,14th February 2023,7
239,Boeing 737 Max 8,Couple Leisure,Economy Class,February 2023,5,5,5,5,5,,5,Yes,11th February 2023,10
240,,Family Leisure,Economy Class,February 2023,1,1,1,1,1,1,1,No,11th February 2023,2
241,,Couple Leisure,Economy Class,February 2023,1,1,1,1,1,1,1,No,6th February 2023,2
242,Boeing 787 / 777,Solo Leisure,Economy Class,January 2023,2,3,1,3,3,,1,No,5th February 2023,2
243,,Business,Premium Economy,February 2023,4,5,4,4,4,,4,Yes,5th February 2023,10
244,Boeing 777,Solo Leisure,Economy Class,February 2023,2,,,,1,,1,No,4th February 2023,1
245,Boeing 737 max,Business,Economy Class,February 2023,3,2,,3,1,2,2,No,2nd February 2023,2
246,,Couple Leisure,Economy Class,January 2023,1,1,1,2,1,,1,No,2nd February 2023,1
247,,Couple Leisure,Economy Class,January 2023,1,1,,,1,1,2,No,1st February 2023,2
248,Boeing 777,Solo Leisure,Economy Class,January 2023,1,3,1,3,2,,2,No,31st January 2023,2
249,,Family Leisure,Economy Class,January 2023,1,1,1,3,1,1,1,No,31st January 2023,2
250,A330,Couple Leisure,Economy Class,January 2023,3,1,1,3,1,1,2,No,29th January 2023,2
251,,Business,Economy Class,January 2023,1,4,3,2,2,,2,No,27th January 2023,2
252,A321,Family Leisure,Business Class,January 2023,4,5,4,4,5,,5,Yes,16th January 2023,10
253,,Family Leisure,Economy Class,January 2023,1,1,,,2,,1,No,15th January 2023,1
254,,Couple Leisure,Economy Class,January 2023,1,2,2,2,4,1,3,No,12th January 2023,2
255,,Solo Leisure,Economy Class,January 2023,2,2,,,1,,1,No,10th January 2023,1
256,,Family Leisure,Economy Class,December 2022,3,1,1,3,2,,1,No,7th January 2023,2
257,,Family Leisure,Economy Class,August 2022,2,2,1,,1,,1,No,7th January 2023,1
258,,Solo Leisure,Economy Class,January 2023,,,,,1,,2,No,7th January 2023,3
259,,Solo Leisure,Economy Class,January 2023,3,3,3,,1,,2,No,6th January 2023,1
260,Boeing 787-8,Family Leisure,Economy Class,December 2022,3,4,3,4,1,1,1,No,6th January 2023,1
261,,Family Leisure,Economy Class,January 2023,2,4,1,,1,,1,No,6th January 2023,1
262,,Solo Leisure,Economy Class,January 2023,1,1,1,1,1,1,1,No,6th January 2023,2
263,,Business,Economy Class,January 2023,2,3,2,4,1,2,1,No,5th January 2023,1
264,,Solo Leisure,Economy Class,January 2023,1,1,1,1,1,1,1,No,4th January 2023,1
265,,Business,Economy Class,January 2023,1,1,1,1,1,1,1,No,3rd January 2023,1
266,,Family Leisure,Economy Class,December 2022,3,3,,,3,,1,No,3rd January 2023,1
267,,Solo Leisure,Economy Class,November 2022,1,1,,,1,,1,No,1st January 2023,2
268,,Solo Leisure,Economy Class,December 2022,2,2,,,1,,1,No,31st December 2022,1
269,Boeing 787,Solo Leisure,Business Class,December 2022,5,5,5,5,1,,1,No,30th December 2022,1
270,Boeing 777,Business,Business Class,December 2022,3,1,4,1,1,1,1,No,30th December 2022,1
271,,Family Leisure,Economy Class,December 2022,1,3,2,2,1,,2,No,29th December 2022,2
272,,Solo Leisure,Economy Class,October 2022,2,2,2,3,1,1,2,No,28th December 2022,1
273,,Family Leisure,Economy Class,December 2022,2,5,,,5,,1,No,28th December 2022,10
274,Boeing 787,Solo Leisure,Economy Class,December 2022,2,1,1,1,1,,2,No,28th December 2022,2
275,,Family Leisure,Economy Class,December 2022,1,1,,,1,,1,No,28th December 2022,1
276,,Solo Leisure,Economy Class,December 2022,1,3,,,1,,1,No,27th December 2022,1
277,,Solo Leisure,Economy Class,December 2022,3,3,2,2,3,2,1,No,26th December 2022,2
278,,Business,Business Class,December 2022,1,3,3,3,1,,1,No,26th December 2022,1
279,,Couple Leisure,Economy Class,December 2022,2,1,1,,1,,1,No,26th December 2022,1
280,,Solo Leisure,Economy Class,December 2022,1,1,1,1,1,1,1,No,25th December 2022,1
281,,Family Leisure,Premium Economy,December 2022,,,,,1,,1,No,25th December 2022,1
282,,Solo Leisure,Economy Class,December 2022,1,1,1,1,1,1,1,No,25th December 2022,1
283,,Solo Leisure,Economy Class,December 2022,1,3,,1,1,,1,No,23rd December 2022,1
284,,Solo Leisure,Economy Class,December 2022,2,2,2,2,3,,2,No,19th December 2022,1
285,,Solo Leisure,Economy Class,December 2022,1,1,1,1,1,1,1,No,19th December 2022,1
286,,Solo Leisure,Economy Class,December 2022,1,1,1,1,1,1,1,No,19th December 2022,1
287,,Family Leisure,Economy Class,December 2022,1,2,1,2,2,,1,No,17th December 2022,2
288,,Solo Leisure,Economy Class,December 2022,2,2,2,2,1,,1,No,16th December 2022,1
289,,Solo Leisure,Economy Class,December 2022,3,4,3,3,1,3,3,Yes,13th December 2022,2
290,,Solo Leisure,Economy Class,December 2022,2,3,1,2,1,2,1,No,12th December 2022,1
291,,Family Leisure,Economy Class,May 2022,3,1,3,,1,,1,No,12th December 2022,1
292,Boeing 777 300ER,Solo Leisure,Economy Class,November 2022,1,1,1,1,1,,1,No,8th December 2022,1
293,,Business,Economy Class,July 2022,2,1,1,2,3,1,2,No,7th December 2022,1
294,,Couple Leisure,Economy Class,December 2022,1,1,1,1,1,,1,No,7th December 2022,2
295,,Family Leisure,Economy Class,December 2022,1,1,1,1,1,1,1,No,4th December 2022,1
296,,Couple Leisure,Economy Class,December 2022,1,1,1,1,1,1,1,No,3rd December 2022,1
